"TreeID","Site","Canopy.Class","Species","DBH"
"RH1021","RH","Overstory","QURU",31.3
"RH2009","RH","Overstory","QURU",44.9
"RH1017","RH","Overstory","ACRU",39
"RH1064","RH","Understory","ACRU",11.8
"RH1024","RH","Middle","ACRU",20.1
"RH2116","RH","Overstory","QURU",51.7
"RH2035","RH","Overstory","QURU",48.6
"TP1025","HF","Overstory","QURU",37.7
"TP1042","HF","Overstory","QURU",32.8
"HOW3027","HO","Overstory","TSCA",26.6
"LF2049","LF","Overstory","QURU",44.6
"LF3043","LF","Overstory","QURU",54.8
"NRP4038","NR","Overstory","TSCA",33.4
"NRP3041","NR","Overstory","ACRU",26.5
"PS1115","PS","Middle","TSCA",23.6
"RH1083","RH","Overstory","QURU",30.6
"RH1087","RH","Overstory","QURU",25.8
"GE1036","GE","Overstory","QURU",47.4
"TP1031","HF","Middle","ACRU",19
"TP1015","HF","Middle","ACRU",17.3
"HOW2031","HO","Understory","TSCA",11.8
"HOW3009","HO","Overstory","TSCA",34.1
"LF2040","LF","Understory","ACRU",25.6
"NRP4065","NR","Overstory","TSCA",35.8
"NRP3060","NR","Overstory","ACRU",30.2
"NRP3002","NR","Overstory","TSCA",40.2
"PS2069","PS","Overstory","TSCA",30
"PS2060","PS","Overstory","TSCA",27.9
"PS1015","PS","Middle","TSCA",22.5
"PS2109","PS","Overstory","TSCA",34.2
"RH2047","RH","Understory","QURU",18.4
"RH2002","RH","Overstory","ACRU",23.1
"GE2071","GE","Understory","ACRU",13.6
"TP1044","HF","Overstory","QURU",43.3
"TP1003","HF","Middle","ACRU",14
"TP1047","HF","Overstory","QURU",44.2
"TP1012","HF","Overstory","QURU",33.9
"HOW2007","HO","Overstory","TSCA",25.3
"HOW3013","HO","Overstory","TSCA",30.3
"HOW3022","HO","Overstory","TSCA",31.4
"NRP1035","NR","Overstory","ACRU",49.5
"PS2019","PS","Overstory","TSCA",38.5
"RH1101","RH","Overstory","QURU",33.3
"GE3067","GE","Overstory","FAGR",20.4
"GE1038","GE","Middle","ACRU",51.8
"TP1071","HF","Overstory","QURU",39
"TP1043","HF","Overstory","QURU",37.7
"LF2009","LF","Middle","QURU",31.2
"NRP3014","NR","Overstory","ACRU",32.8
"PS2055","PS","Overstory","TSCA",28.5
"PS2092","PS","Understory","TSCA",21.2
