CoreID,TreeID,plot.id,Site,tree.number,species,canopy.class,live.dead,dbh,stems,total.cores,core.id,pith.present,pith.yr,inner.present,inner.measured,outer.measured,bark.present,inner.dated,outer.dated,dated,Notes,zombie
HOW1075E,HOW1075,1,HOW,075,,,,,1,2,E,NA,NA,1938,1938,2013,Y,1938,2013,Y,,
HOW1075W,HOW1075,1,HOW,075,,,,,1,2,W,NA,NA,1938,1938,2013,Y,1938,2013,Y,,
HOW1076N,HOW1076,1,HOW,076,,,,,1,2,N,NA,NA,1929,1929,2013,Y,1929,2013,Y,,
HOW1076S,HOW1076,1,HOW,076,,,,,1,2,S,NA,NA,1929,1929,2012,Y,1929,2012,Y,,
HOW1077N,HOW1077,1,HOW,077,,,,,1,2,N,NA,NA,1934,1934,2013,Y,1934,2013,Y,,
HOW1077S,HOW1077,1,HOW,077,,,,,1,2,S,NA,NA,1934,1934,2013,Y,1934,2013,Y,,
HOW1078E,HOW1078,1,HOW,078,,,,,1,2,E,NA,NA,1946,1946,2013,Y,1946,2013,Y,,
HOW1078W,HOW1078,1,HOW,078,,,,,1,2,W,NA,NA,1935,1935,2013,Y,1935,2013,Y,,
HOW1079N,HOW1079,1,HOW,079,,,,,1,2,N,NA,NA,1938,1938,2008,Y,1938,2008,Y,,
HOW1079S,HOW1079,1,HOW,079,,,,,1,2,S,NA,NA,1938,1938,2008,Y,1938,2008,Y,,
HOW1080B,HOW1080,1,HOW,080,,,,,1,2,B,NA,NA,1878,1878,2008,Y,1878,2008,Y,,
HOW1080E,HOW1080,1,HOW,080,,,,,1,2,E,NA,NA,1922,1922,2008,Y,1922,2008,Y,,
HOW1080W,HOW1080,1,HOW,080,,,,,1,2,W,NA,NA,1892,1892,1961,Y,1892,1961,Y,,
HOW1081E,HOW1081,1,HOW,081,,,,,1,2,E,NA,NA,1901,1901,2013,Y,1901,2013,Y,,
HOW1081W,HOW1081,1,HOW,081,,,,,1,2,W,NA,NA,1901,1901,2013,Y,1901,2013,Y,,
HOW1082E,HOW1082,1,HOW,082,,,,,1,2,E,NA,NA,1871,1871,2013,Y,1871,2013,Y,,
HOW1082W,HOW1082,1,HOW,082,,,,,1,2,W,NA,NA,1871,1871,2013,Y,1871,2013,Y,,
HOW1083N,HOW1083,1,HOW,083,,,,,1,2,N,NA,NA,1934,1934,2007,Y,1934,2007,Y,,
HOW1083S,HOW1083,1,HOW,083,,,,,1,2,S,NA,NA,1934,1934,2003,Y,1934,2003,Y,,
HOW1084N,HOW1084,1,HOW,084,,,,,1,2,N,NA,NA,1932,1932,2004,Y,1932,2004,Y,,
HOW1084S,HOW1084,1,HOW,084,,,,,1,2,S,NA,NA,1932,1932,2000,Y,1932,2000,Y,,
HOW1085E,HOW1085,1,HOW,085,,,,,1,2,E,NA,NA,1938,1938,2011,Y,1938,2011,Y,,
HOW1085W,HOW1085,1,HOW,085,,,,,1,2,W,NA,NA,1938,1938,2009,Y,1938,2009,Y,,
HOW1086E,HOW1086,1,HOW,086,,,,,1,2,E,NA,NA,1942,1942,2013,Y,1942,2013,Y,,
HOW1086W,HOW1086,1,HOW,086,,,,,1,2,W,NA,NA,1942,1942,2013,Y,1942,2013,Y,,
HOW1087E,HOW1087,1,HOW,087,,,,,1,2,E,NA,NA,1873,1873,2013,Y,1873,2013,Y,,
HOW1087W,HOW1087,1,HOW,087,,,,,1,2,W,NA,NA,1884,1884,2013,Y,1884,2013,Y,,
HOW1088E,HOW1088,1,HOW,088,,,,,1,2,E,NA,NA,1939,1939,2002,Y,1939,2002,Y,,
HOW1089N,HOW1089,1,HOW,089,,,,,1,2,N,NA,NA,1900,1900,2013,Y,1900,2013,Y,,
HOW1089S,HOW1089,1,HOW,089,,,,,1,2,S,NA,NA,1927,1927,2013,Y,1927,2013,Y,,
HOW1090E,HOW1090,1,HOW,090,,,,,1,2,E,NA,NA,1925,1925,2013,Y,1925,2013,Y,,
HOW1090W,HOW1090,1,HOW,090,,,,,1,2,W,NA,NA,1925,1925,2013,Y,1925,2013,Y,,
HOW1091N,HOW1091,1,HOW,091,,,,,1,2,N,NA,NA,1930,1930,2000,Y,1930,2000,Y,,
HOW1091S,HOW1091,1,HOW,091,,,,,1,2,S,NA,NA,1930,1930,2006,Y,1930,2006,Y,,
HOW1092E,HOW1092,1,HOW,092,,,,,1,2,E,NA,NA,1937,1937,2011,Y,1937,2011,Y,,
HOW1092W,HOW1092,1,HOW,092,,,,,1,2,W,NA,NA,1946,1946,2009,Y,1946,2009,Y,,
HOW1093E,HOW1093,1,HOW,093,,,,,1,2,E,NA,NA,1937,1937,2013,Y,1937,2013,Y,,
HOW1093W,HOW1093,1,HOW,093,,,,,1,2,W,NA,NA,1937,1937,2013,Y,1937,2013,Y,,
HOW1094S,HOW1094,1,HOW,094,,,,,1,2,S,NA,NA,1893,1893,2013,Y,1893,2013,Y,,
HOW1094W,HOW1094,1,HOW,094,,,,,1,2,W,NA,NA,1855,1855,2013,Y,1855,2013,Y,,
HOW1095E,HOW1095,1,HOW,095,,,,,1,2,E,NA,NA,1940,1940,2012,Y,1940,2012,Y,,
HOW1095W,HOW1095,1,HOW,095,,,,,1,2,W,NA,NA,1940,1940,2013,Y,1940,2013,Y,,
HOW1096N,HOW1096,1,HOW,096,,,,,1,2,N,NA,NA,1923,1923,2013,Y,1923,2013,Y,,
HOW1096S,HOW1096,1,HOW,096,,,,,1,2,S,NA,NA,1923,1923,2013,Y,1923,2013,Y,,
HOW1097N,HOW1097,1,HOW,097,,,,,1,2,N,NA,NA,1933,1933,2013,Y,1933,2013,Y,,
HOW1097S,HOW1097,1,HOW,097,,,,,1,2,S,NA,NA,1933,1933,2013,Y,1933,2013,Y,,
HOW1098E,HOW1098,1,HOW,098,,,,,1,2,E,NA,NA,1868,1868,2007,Y,1868,2007,Y,,
HOW1098W,HOW1098,1,HOW,098,,,,,1,2,W,NA,NA,1868,1868,1996,Y,1868,1996,Y,,
HOW1099N,HOW1099,1,HOW,099,,,,,1,2,N,NA,NA,1872,1872,2013,Y,1872,2013,Y,,
HOW1099S,HOW1099,1,HOW,099,,,,,1,2,S,NA,NA,1872,1872,2013,Y,1872,2013,Y,,
HOW1100E,HOW1100,1,HOW,100,,,,,1,2,E,NA,NA,1900,1900,2013,Y,1900,2013,Y,,
HOW1100W,HOW1100,1,HOW,100,,,,,1,2,W,NA,NA,1900,1900,2013,Y,1900,2013,Y,,
HOW1105N,HOW1105,1,HOW,105,,,,,1,2,N,NA,NA,1944,1944,2013,Y,1944,2013,Y,,
HOW1105W,HOW1105,1,HOW,105,,,,,1,2,W,NA,NA,1933,1933,2013,Y,1933,2013,Y,,
HOW1106N,HOW1106,1,HOW,106,,,,,1,2,N,NA,NA,1934,1934,2013,Y,1934,2013,Y,,
HOW1106S,HOW1106,1,HOW,106,,,,,1,2,S,NA,NA,1931,1931,2013,Y,1931,2013,Y,,
HOW1107N,HOW1107,1,HOW,107,,,,,1,2,N,NA,NA,1934,1934,2013,Y,1934,2013,Y,,
HOW1107S,HOW1107,1,HOW,107,,,,,1,2,S,NA,NA,1933,1933,2013,Y,1933,2013,Y,,
HOW1110N,HOW1110,1,HOW,110,,,,,1,2,N,NA,NA,1940,1940,2013,Y,1940,2013,Y,,
HOW1110S,HOW1110,1,HOW,110,,,,,1,2,S,NA,NA,1942,1942,2013,Y,1942,2013,Y,,
HOW1111E,HOW1111,1,HOW,111,,,,,1,2,E,NA,NA,1941,1941,2012,Y,1941,2012,Y,,
HOW1111W,HOW1111,1,HOW,111,,,,,1,2,W,NA,NA,1941,1941,2012,Y,1941,2012,Y,,
HOW1112E,HOW1112,1,HOW,112,,,,,1,2,E,NA,NA,1930,1930,2013,Y,1930,2013,Y,,
HOW1112W,HOW1112,1,HOW,112,,,,,1,2,W,NA,NA,1931,1931,2013,Y,1931,2013,Y,,
HOW1114N,HOW1114,1,HOW,114,,,,,1,2,N,NA,NA,1936,1936,2004,Y,1936,2004,Y,,
HOW1114S,HOW1114,1,HOW,114,,,,,1,2,S,NA,NA,1937,1937,2007,Y,1937,2007,Y,,
HOW1115N,HOW1115,1,HOW,115,,,,,1,2,N,NA,NA,1946,1946,2013,Y,1946,2013,Y,,
HOW1115S,HOW1115,1,HOW,115,,,,,1,2,S,NA,NA,1946,1946,1991,Y,1946,1991,Y,,
HOW1116E,HOW1116,1,HOW,116,,,,,1,2,E,NA,NA,1927,1927,2013,Y,1927,2013,Y,,
HOW1116W,HOW1116,1,HOW,116,,,,,1,2,W,NA,NA,1927,1927,2013,Y,1927,2013,Y,,
HOW1117E,HOW1117,1,HOW,117,,,,,1,2,E,NA,NA,1927,1927,2013,Y,1927,2013,Y,,
