TreeID,CoreID,DBH..cm.,pith.offset,plot.id,Site,tree.number,species,canopy.class,live.dead,stems,total.cores,core.id,pith.present,pith.yr,inner.present,inner.measured,outer.measured,bark.present,inner.dated,outer.dated,dated,Notes,zombie,outer.present
NWB353,NWB353B,8.7,0,NWB,Niwot,67,PIEN,NA,LIVE,1,2,B,Y,1827,1827,1827,2012,NA,NA,NA,Y,NA,NA,2012
NWB354,NWB354A,26.5,NA,NWB,Niwot,68,PICO,NA,LIVE,1,2,A,N,NA,1925,1925,2012,NA,NA,NA,Y,NA,NA,2012
NWB354,NWB354B,26.5,NA,NWB,Niwot,68,PICO,NA,LIVE,1,2,B,N,NA,1928,1928,2012,NA,NA,NA,Y,NA,NA,2012
NWB361,NWB361A,29.3,NA,NWB,Niwot,69,PICO,NA,LIVE,1,2,A,N,NA,1855,1855,2012,NA,NA,NA,Y,NA,NA,2012
NWB361,NWB361B,29.3,NA,NWB,Niwot,69,PICO,NA,LIVE,1,2,B,N,NA,1869,1869,2012,NA,NA,NA,Y,NA,NA,2012
NWB362,NWB362A,21,3,NWB,Niwot,70,ABLA,NA,LIVE,1,2,A,N,1842,1845,1845,2012,NA,NA,NA,Y,NA,NA,2012
NWB362,NWB362B,21,11,NWB,Niwot,70,ABLA,NA,LIVE,1,2,B,N,1821,1832,1832,2012,NA,NA,NA,Y,NA,NA,2012
NWB363,NWB363A,19.6,15,NWB,Niwot,71,ABLA,NA,DEAD,1,2,A,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB363,NWB363B,19.6,15,NWB,Niwot,71,ABLA,NA,DEAD,1,2,B,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB364,NWB364A,20.1,8,NWB,Niwot,72,ABLA,NA,LIVE,1,2,A,N,1853,1861,1861,2012,NA,NA,NA,Y,NA,NA,2012
NWB364,NWB364B,20.1,8,NWB,Niwot,72,ABLA,NA,LIVE,1,2,B,N,1853,1861,1861,2012,NA,NA,NA,Y,NA,NA,2012
NWB411,NWB411A,20.5,1,NWB,Niwot,73,ABLA,NA,DEAD,1,2,A,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB411,NWB411B,20.5,1,NWB,Niwot,73,ABLA,NA,DEAD,1,2,B,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB412,NWB412A,21.2,11,NWB,Niwot,74,PIEN,NA,LIVE,1,2,A,N,1904,1915,1915,2012,NA,NA,NA,Y,NA,NA,2012
NWB412,NWB412B,21.2,11,NWB,Niwot,74,PIEN,NA,LIVE,1,2,B,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB413,NWB413A,12.3,0,NWB,Niwot,75,ABLA,NA,LIVE,1,2,A,Y,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB413,NWB413B,12.3,0,NWB,Niwot,75,ABLA,NA,LIVE,1,2,B,Y,1921,1921,1921,2012,NA,NA,NA,Y,NA,NA,2012
NWB414,NWB414A,14.3,2,NWB,Niwot,76,ABLA,NA,LIVE,1,2,A,N,1915,1917,1917,2012,NA,NA,NA,Y,NA,NA,2012
NWB414,NWB414B,14.3,2,NWB,Niwot,76,ABLA,NA,LIVE,1,2,B,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB421,NWB421A,7.1,0,NWB,Niwot,77,ABLA,NA,LIVE,1,2,A,Y,1928,1928,1928,2012,NA,NA,NA,Y,NA,NA,2012
NWB421,NWB421B,7.1,0,NWB,Niwot,77,ABLA,NA,LIVE,1,2,B,Y,1928,1928,1928,2012,NA,NA,NA,Y,NA,NA,2012
NWB422,NWB422A,29,13,NWB,Niwot,78,PIEN,NA,LIVE,1,2,A,N,1798,1811,1811,2012,NA,NA,NA,Y,NA,NA,2012
NWB422,NWB422B,29,15,NWB,Niwot,78,PIEN,NA,LIVE,1,2,B,N,1800,1815,1815,2012,NA,NA,NA,Y,NA,NA,2012
NWB423,NWB423A,17.7,9,NWB,Niwot,79,PIEN,NA,LIVE,1,2,A,N,1811,1820,1820,2012,NA,NA,NA,Y,NA,NA,2012
NWB423,NWB423B,17.7,9,NWB,Niwot,79,PIEN,NA,LIVE,1,2,B,N,1811,1820,1820,2012,NA,NA,NA,Y,NA,NA,2012
NWB424,NWB424A,36.8,8,NWB,Niwot,80,PICO,NA,LIVE,1,2,A,N,1799,1807,1807,2012,NA,NA,NA,Y,NA,NA,2012
