"TreeID","CoreID","dbh","plot.id","Site","tree.number","species","canopy.class","live.dead","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie","plot","X","Species","Canopy.Class","Live.Dead","DBH..cm."
"NWB323","NWB323B",17,"NWB","Niwot",55,"PICO",NA,"LIVE",1,2,"B","Y",1929,1929,1929,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB324","NWB324A",12.3,"NWB","Niwot",56,"ABLA",NA,"LIVE",1,2,"A","N",1918,1923,1923,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB324","NWB324B",12.3,"NWB","Niwot",56,"ABLA",NA,"LIVE",1,2,"B","N",1917,1922,1922,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB331","NWB331A",10.5,"NWB","Niwot",57,"ABLA",NA,"LIVE",1,2,"A","N",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB331","NWB331B",10.5,"NWB","Niwot",57,"ABLA",NA,"LIVE",1,2,"B","N",1931,1932,1932,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB332","NWB332A",11.2,"NWB","Niwot",58,"ABLA",NA,"DEAD",1,2,"A","Y",1918,1918,1918,2000,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB332","NWB332B",11.2,"NWB","Niwot",58,"ABLA",NA,"DEAD",1,2,"B","Y",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB333","NWB333A",13.5,"NWB","Niwot",59,"ABLA",NA,"LIVE",1,2,"A","N",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB333","NWB333B",13.5,"NWB","Niwot",59,"ABLA",NA,"LIVE",1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB334","NWB334A",6.8,"NWB","Niwot",60,"ABLA",NA,"LIVE",1,2,"A","Y",1935,1935,1935,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB334","NWB334B",6.8,"NWB","Niwot",60,"ABLA",NA,"LIVE",1,2,"B","Y",1935,1935,1935,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB341","NWB341A",14.5,"NWB","Niwot",61,"PICO",NA,"LIVE",1,2,"A","N",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB341","NWB341B",14.5,"NWB","Niwot",61,"PICO",NA,"LIVE",1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB342","NWB342A",17.5,"NWB","Niwot",62,"ABLA",NA,"LIVE",1,2,"A","N",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB342","NWB342B",17.5,"NWB","Niwot",62,"ABLA",NA,"LIVE",1,2,"B","N",1915,1917,1917,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB343","NWB343A",8.9,"NWB","Niwot",63,"PICO",NA,"LIVE",1,2,"A","N",1934,1939,1939,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
