"TreeID","PlotID","Site","Species","Canopy.Class","Live.Dead","DBH..cm.","Stems","Total.Cores","plot","Dated","Pith","Tree","Basal.Area..cm2.","basal.area..m2.ha.","Density..stems.ha.","notes","Distance","Azimuth"
"NWB513","NWB","Niwot","PIEN","C","LIVE",20.3,1,2,"B","Y",1867,NA,NA,NA,NA,NA,NA,NA
"NWB514","NWB","Niwot","ABLA","C","LIVE",16.2,1,2,"B","Y",1912,NA,NA,NA,NA,NA,NA,NA
"NWB521","NWB","Niwot","ABLA","C","LIVE",15.3,1,2,"B","Y",1899,NA,NA,NA,NA,NA,NA,NA
"NWB522","NWB","Niwot","PICO","C","LIVE",30.7,1,2,"B","Y",1813.5,NA,NA,NA,NA,NA,NA,NA
"NWB523","NWB","Niwot","ABLA","C","LIVE",13.5,1,2,"B","Y",1862,NA,NA,NA,NA,NA,NA,NA
"NWB524","NWB","Niwot","PIEN","C","LIVE",20.1,1,2,"B","Y",1827,NA,NA,NA,NA,NA,NA,NA
"NWB531","NWB","Niwot","ABLA","C","LIVE",6.3,1,2,"B","Y",1924,NA,NA,NA,NA,NA,NA,NA
"NWB532","NWB","Niwot","ABLA","C","LIVE",21.7,1,2,"B","Y",1810,NA,NA,NA,NA,NA,NA,NA
"NWB533","NWB","Niwot","ABLA","C","LIVE",14.7,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB534","NWB","Niwot","PIEN","C","LIVE",22.3,1,2,"B","Y",1842,NA,NA,NA,NA,NA,NA,NA
"NWB541","NWB","Niwot","PICO","C","LIVE",7.1,1,2,"B","Y",1937,NA,NA,NA,NA,NA,NA,NA
"NWB542","NWB","Niwot","ABLA","C","LIVE",6.5,1,2,"B","Y",1905,NA,NA,NA,NA,NA,NA,NA
"NWB543","NWB","Niwot","ABLA","C","LIVE",11.5,1,2,"B","Y",1925,NA,NA,NA,NA,NA,NA,NA
"NWB544","NWB","Niwot","PICO","C","LIVE",30.5,1,2,"B","Y",1795.5,NA,NA,NA,NA,NA,NA,NA
"NWB551","NWB","Niwot","PICO","C","LIVE",32,1,2,"B","Y",1772.5,NA,NA,NA,NA,NA,NA,NA
"NWB552","NWB","Niwot","PIEN","C","LIVE",10.2,1,2,"B","Y",1923,NA,NA,NA,NA,NA,NA,NA
"NWB553","NWB","Niwot","PICO","C","LIVE",41,1,2,"B","Y",1804,NA,NA,NA,NA,NA,NA,NA
"NWB554","NWB","Niwot","ABLA","C","LIVE",19.8,1,2,"B","Y",1899,NA,NA,NA,NA,NA,NA,NA
"NWB561","NWB","Niwot","PICO","C","LIVE",34.1,1,2,"B","Y",1749.5,NA,NA,NA,NA,NA,NA,NA
"NWB562","NWB","Niwot","PICO","C","LIVE",30.7,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB563","NWB","Niwot","PICO","C","LIVE",7.9,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB564","NWB","Niwot","ABLA","C","LIVE",19.5,1,2,"B","Y",1831,NA,NA,NA,NA,NA,NA,NA
"NWB611","NWB","Niwot","ABLA","C","LIVE",8.2,1,2,"B","Y",1844,NA,NA,NA,NA,NA,NA,NA
"NWB612","NWB","Niwot","ABLA","C","LIVE",17.3,1,2,"B","Y",1829,NA,NA,NA,NA,NA,NA,NA
"NWB613","NWB","Niwot","PIEN","C","DEAD",14.8,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB614","NWB","Niwot","ABLA","C","LIVE",14,1,2,"B","Y",1823,NA,NA,NA,NA,NA,NA,NA
"NWB621","NWB","Niwot","PIEN","C","LIVE",6.2,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB622","NWB","Niwot","ABLA","C","LIVE",10.3,1,2,"B","Y",1909,NA,NA,NA,NA,NA,NA,NA
"NWB623","NWB","Niwot","ABLA","C","LIVE",11.3,1,2,"B","Y",1920.5,NA,NA,NA,NA,NA,NA,NA
"NWB624","NWB","Niwot","PIEN","C","LIVE",15.1,1,2,"B","Y",1827,NA,NA,NA,NA,NA,NA,NA
"NWB631","NWB","Niwot","PIEN","C","LIVE",20.9,1,2,"B","Y",1871,NA,NA,NA,NA,NA,NA,NA
"NWB632","NWB","Niwot","PICO","C","LIVE",30.8,1,2,"B","Y",1794.5,NA,NA,NA,NA,NA,NA,NA
"NWB633","NWB","Niwot","ABLA","C","LIVE",22.9,1,2,"B","Y",1829.5,NA,NA,NA,NA,NA,NA,NA
"NWB634","NWB","Niwot","PICO","C","DEAD",25.6,1,2,"B","Y",1767,NA,NA,NA,NA,NA,NA,NA
"NWB641","NWB","Niwot","ABLA","C","LIVE",9.5,1,2,"B","Y",1918,NA,NA,NA,NA,NA,NA,NA
