CoreID,Site,plot.id,tree.number,stems,total.cores,core.id,pith.present,pith.yr,inner.present,inner.measured,outer.measured,bark.present,inner.dated,outer.dated,dated,Notes,zombie,species,canopy.class,live.dead,dbh
HOW1080E,HOW,1,80,1,2,E,NA,NA,1922,1922,2008,Y,1922,2008,Y,NA,NA,PCRU,C,LIVE,14.6
HOW1081E,HOW,1,81,1,2,E,NA,NA,1901,1901,2013,Y,1901,2013,Y,NA,NA,PCRU,C,LIVE,24.1
HOW1081W,HOW,1,81,1,2,W,NA,NA,1901,1901,2013,Y,1901,2013,Y,NA,NA,PCRU,C,LIVE,24.1
HOW1082W,HOW,1,82,1,2,W,NA,NA,1871,1871,2013,Y,1871,2013,Y,NA,NA,TSCA,C,LIVE,40.5
HOW1082E,HOW,1,82,1,2,E,NA,NA,1871,1871,2013,Y,1871,2013,Y,NA,NA,TSCA,C,LIVE,40.5
HOW1083N,HOW,1,83,1,2,N,NA,NA,1934,1934,2007,Y,1934,2007,Y,NA,NA,PCRU,I,LIVE,12.7
HOW1083S,HOW,1,83,1,2,S,NA,NA,1934,1934,2003,Y,1934,2003,Y,NA,NA,PCRU,I,LIVE,12.7
HOW1084N,HOW,1,84,1,2,N,NA,NA,1932,1932,2004,Y,1932,2004,Y,NA,NA,PCRU,I,LIVE,15
HOW1084S,HOW,1,84,1,2,S,NA,NA,1932,1932,2000,Y,1932,2000,Y,NA,NA,PCRU,I,LIVE,15
HOW1085E,HOW,1,85,1,2,E,NA,NA,1938,1938,2011,Y,1938,2011,Y,NA,NA,PCRU,I,LIVE,12.3
HOW1085W,HOW,1,85,1,2,W,NA,NA,1938,1938,2009,Y,1938,2009,Y,NA,NA,PCRU,I,LIVE,12.3
HOW1086E,HOW,1,86,1,2,E,NA,NA,1942,1942,2013,Y,1942,2013,Y,NA,NA,PCRU,C,LIVE,19.3
HOW1086W,HOW,1,86,1,2,W,NA,NA,1942,1942,2013,Y,1942,2013,Y,NA,NA,PCRU,C,LIVE,19.3
HOW1087W,HOW,1,87,1,2,W,NA,NA,1884,1884,2013,Y,1884,2013,Y,NA,NA,PCRU,C,LIVE,27
HOW1087E,HOW,1,87,1,2,E,NA,NA,1873,1873,2013,Y,1873,2013,Y,NA,NA,PCRU,C,LIVE,27
HOW1088E,HOW,1,88,1,2,E,NA,NA,1939,1939,2002,Y,1939,2002,Y,NA,NA,PCRU,I,LIVE,10.5
HOW1089S,HOW,1,89,1,2,S,NA,NA,1927,1927,2013,Y,1927,2013,Y,NA,NA,THOC,I,LIVE,25.1
HOW1089N,HOW,1,89,1,2,N,NA,NA,1900,1900,2013,Y,1900,2013,Y,NA,NA,THOC,I,LIVE,25.1
HOW1090E,HOW,1,90,1,2,E,NA,NA,1925,1925,2013,Y,1925,2013,Y,NA,NA,ACRU,I,LIVE,17.7
HOW1090W,HOW,1,90,1,2,W,NA,NA,1925,1925,2013,Y,1925,2013,Y,NA,NA,ACRU,I,LIVE,17.7
