"CoreID","TreeID","plot.id","Site","tree.number","Species","Canopy.Class","Live.Dead","DBH..cm.","stems","total.cores","core.id","pith.preset","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie","plot"
"ACB007A","ACB007","ACB","Austin Cary FL",7,"PIPA","C","LIVE",33.3,1,2,"A","N",1937,1939,1940,2014,"Y",1940,2014,"Y",NA,NA,"B"
"ACB007B","ACB007","ACB","Austin Cary FL",7,"PIPA","C","LIVE",33.3,1,2,"B","N",1937,1948,1949,2014,"Y",1949,2014,"Y",NA,NA,"B"
"ACB008A","ACB008","ACB","Austin Cary FL",8,"PIPA","I","LIVE",10,1,2,"A","Y",1957,1957,1958,2014,"Y",NA,NA,"N",NA,NA,"B"
"ACB008B","ACB008","ACB","Austin Cary FL",8,"PIPA","I","LIVE",10,1,2,"B","N",1951,1959,1960,2014,"Y",NA,NA,"N",NA,NA,"B"
"ACB009A","ACB009","ACB","Austin Cary FL",9,"PIPA","C","LIVE",34.3,1,2,"A","Y",1921,1921,1922,2014,"Y",1922,2014,"Y",NA,NA,"B"
"ACB009B","ACB009","ACB","Austin Cary FL",9,"PIPA","C","LIVE",34.3,1,2,"B","N",1918,1922,1923,2014,"Y",1923,2014,"Y",NA,NA,"B"
"ACB010A","ACB010","ACB","Austin Cary FL",10,"PIPA","C","LIVE",27.2,1,2,"A","N",1920,1925,1926,2014,"Y",1926,2014,"Y",NA,NA,"B"
"ACB010B","ACB010","ACB","Austin Cary FL",10,"PIPA","C","LIVE",27.2,1,2,"B","N",1917,1921,1922,2014,"Y",1922,2014,"Y",NA,NA,"B"
"ACB011A","ACB011","ACB","Austin Cary FL",11,"PIPA","C","LIVE",29.9,1,2,"A","N",1919,1925,1926,2014,"Y",1926,2014,"Y",NA,NA,"B"
"ACB011B","ACB011","ACB","Austin Cary FL",11,"PIPA","C","LIVE",29.9,1,2,"B","Y",1921,1921,1922,2014,"Y",1922,2014,"Y",NA,NA,"B"
"ACB012A","ACB012","ACB","Austin Cary FL",12,"PIPA","C","LIVE",24.4,1,2,"A","N",1921,1927,1928,1990,"Y",NA,NA,"Y","CUT, DIDN'T MEASURE OUTSIDE.",NA,"B"
