"TreeID","PlotID","Site","Species","Canopy.Class","Live.Dead","DBH..cm.","Stems","Total.Cores","plot","Dated","Pith"
"NWB662","NWB","Niwot","ABLA","C","LIVE",7.9,1,2,"B","Y",1927
"NWB663","NWB","Niwot","ABLA","C","LIVE",9.5,1,2,"B","Y",1920
"NWB664","NWB","Niwot","ABLA","C","LIVE",9.8,1,2,"B","Y",1942
"NWC111","NWC","Niwot","ABLA","C","LIVE",16.2,1,2,"C","Y",1918
"NWC112","NWC","Niwot","ABLA","C","LIVE",22.7,1,2,"C","Y",1857
"NWC113","NWC","Niwot","PICO","C","LIVE",20.3,1,2,"C","Y",1939
"NWC114","NWC","Niwot","PICO","C","LIVE",24.5,1,2,"C","Y",1904
"NWC121","NWC","Niwot","PICO","C","LIVE",19.7,1,2,"C","Y",1939
"NWC122","NWC","Niwot","PICO","C","LIVE",21.3,1,2,"C","Y",1936
"NWC123","NWC","Niwot","PIEN","C","LIVE",11.9,1,2,"C","Y",1941
"NWC124","NWC","Niwot","ABLA","C","LIVE",15.1,1,2,"C","Y",1930
"NWC131","NWC","Niwot","PICO","C","LIVE",23.4,1,2,"C","Y",1930
"NWC132","NWC","Niwot","ABLA","C","LIVE",9.3,1,2,"C","Y",1939
"NWC133","NWC","Niwot","PICO","C","LIVE",12.8,1,2,"C","Y",1937
"NWC134","NWC","Niwot","PICO","C","LIVE",13.9,1,2,"C","Y",1929
"NWC141","NWC","Niwot","PIEN","C","LIVE",7.5,1,2,"C","Y",1913
"NWC142","NWC","Niwot","PIEN","C","LIVE",9.6,1,2,"C","N",NA
"NWC143","NWC","Niwot","PIEN","C","DEAD",9.8,1,2,"C","Y",1926
"NWC144","NWC","Niwot","PIEN","C","LIVE",7.3,1,2,"C","Y",1936
"NWC151","NWC","Niwot","PIEN","C","LIVE",13.2,1,2,"C","Y",1915
"NWC152","NWC","Niwot","PICO","C","LIVE",7.8,1,2,"C","Y",1945
"NWC153","NWC","Niwot","PICO","C","LIVE",18.9,1,2,"C","Y",1930
"NWC154","NWC","Niwot","ABLA","C","LIVE",12.2,1,2,"C","Y",1934
"NWC161","NWC","Niwot","PICO","C","LIVE",11.8,1,2,"C","Y",1929
"NWC162","NWC","Niwot","ABLA","C","LIVE",12.5,1,2,"C","Y",1918
"NWC163","NWC","Niwot","PICO","C","LIVE",22.4,1,2,"C","N",NA
"NWC164","NWC","Niwot","PIEN","C","LIVE",12.6,1,2,"C","Y",1911
"NWC211","NWC","Niwot","ABLA","C","LIVE",11,1,2,"C","Y",1925
"NWC212","NWC","Niwot","ABLA","C","LIVE",10.2,1,2,"C","N",NA
"NWC213","NWC","Niwot","ABLA","C","LIVE",6.3,1,2,"C","Y",1935
"NWC214","NWC","Niwot","PICO","C","LIVE",19.1,1,2,"C","Y",1934
"NWC221","NWC","Niwot","PICO","C","LIVE",15.9,1,2,"C","Y",1950
"NWC222","NWC","Niwot","ABLA","C","LIVE",10.7,1,2,"C","Y",1920
"NWC223","NWC","Niwot","PICO","C","LIVE",15.5,1,2,"C","Y",1932
"NWC224","NWC","Niwot","ABLA","C","LIVE",6.5,1,2,"C","Y",1933
"NWC231","NWC","Niwot","PIEN","C","LIVE",16.4,1,2,"C","Y",1916
"NWC232","NWC","Niwot","ABLA","C","LIVE",6.7,1,2,"C","Y",1937
"NWC233","NWC","Niwot","ABLA","C","LIVE",6.2,1,2,"C","Y",1948.5
"NWC234","NWC","Niwot","ABLA","C","LIVE",11.3,1,2,"C","N",NA
"NWC241","NWC","Niwot","PIEN","C","LIVE",10.2,1,2,"C","Y",1926.5
"NWC242","NWC","Niwot","ABLA","C","LIVE",24.7,1,2,"C","Y",1793
"NWC243","NWC","Niwot","PICO","C","LIVE",11.1,1,2,"C","Y",1932
"NWC244","NWC","Niwot","PIEN","C","LIVE",8.2,1,2,"C","N",NA
"NWC251","NWC","Niwot","PICO","C","LIVE",11.7,1,2,"C","Y",1931
"NWC252","NWC","Niwot","PICO","C","LIVE",14.8,1,2,"C","N",NA
"NWC253","NWC","Niwot","PICO","C","LIVE",18.5,1,2,"C","Y",1931
