"Site","tmean","precip","Year"
"Morgan Monroe State Park",21.1068939066192,526.536750462945,1923
"Oak Openings Toledo",19.361234226308,425.816596571736,1923
"Savannah River",24.9832883838619,592.551463085584,1923
"Valles Caldera Lower",12.6809609831604,330.337905945794,1923
"Valles Caldera Upper",10.7118134224408,354.337533075148,1923
"Willow Creek",15.9490594369975,476.997332366897,1923
"Austin Cary FL",26.1604830800295,747.111125086744,1924
"Duke Hardwood",22.62563643974,798.226083680328,1924
"Duke Loblolly",22.6156021843253,797.194249701214,1924
"Florida Plantation",26.2068492990522,740.706589207233,1924
"Harvard",16.0859906785503,428.855514688929,1924
"Howland",15.2422030124539,435.918068886948,1924
"Michigan AmerifluxTower",13.8577660010516,386.588983339407,1924
"Michigan Facet Site",13.9124353708139,387.092178011154,1924
"Missouri Ozark",20.5813790597087,631.343924685615,1924
"Morgan Monroe State Park",19.8973183101329,507.330959998812,1924
"Oak Openings Toledo",17.7629109333998,437.922799451911,1924
"Savannah River",24.8738973107969,771.910448662193,1924
"Valles Caldera Lower",13.0741554515125,194.906073479257,1924
"Valles Caldera Upper",11.10048079792,203.962577083879,1924
"Willow Creek",12.9707731860181,495.804343437572,1924
"Austin Cary FL",26.3245176989745,607.709778256394,1925
"Duke Hardwood",24.1080678773209,336.805316797152,1925
"Duke Loblolly",24.0995812098073,336.290546432401,1925
"Florida Plantation",26.3596283408928,620.004805224653,1925
"Harvard",16.6478917717758,462.815587368389,1925
"Howland",15.5494961481612,460.943173588779,1925
"Michigan AmerifluxTower",15.6053008304582,248.07124733245,1925
"Michigan Facet Site",15.6510548434667,248.664361997503,1925
"Missouri Ozark",23.0388406437612,488.136624754549,1925
"Morgan Monroe State Park",21.8369256100856,543.657352763204,1925
"Oak Openings Toledo",19.7413520501507,346.592552814656,1925
"Savannah River",26.9678177828372,305.943146712023,1925
"Valles Caldera Lower",12.6954877522471,306.137950826321,1925
"Valles Caldera Upper",10.7047104345801,343.086186662973,1925
"Willow Creek",15.3269333007332,449.761717186728,1925
"Austin Cary FL",26.0651196810809,804.514319371443,1926
"Duke Hardwood",24.0121228934967,369.887798286344,1926
"Duke Loblolly",24.0098601851972,368.534058616028,1926
"Florida Plantation",26.149834740246,832.75466496527,1926
"Harvard",15.8377589310307,305.336160246369,1926
"Howland",15.001832254485,411.283980024033,1926
"Michigan AmerifluxTower",14.6808866707871,329.784515032873,1926
"Michigan Facet Site",14.7240788032315,330.553293720412,1926
"Missouri Ozark",22.5523433475778,622.579427689863,1926
"Morgan Monroe State Park",21.7810181037546,655.678178602269,1926
"Oak Openings Toledo",19.2455267838167,477.337986232536,1926
"Savannah River",26.1343494112831,517.192970077962,1926
"Valles Caldera Lower",12.4069622954787,281.144411325257,1926
"Valles Caldera Upper",10.3647108240569,304.562741712757,1926
"Willow Creek",14.5647046429036,627.066870184072,1926
"Austin Cary FL",26.5757866792375,645.723144310084,1927
"Duke Hardwood",22.6080741850956,522.273424212426,1927
"Duke Loblolly",22.6106076201452,521.640329430369,1927
"Florida Plantation",26.630666881494,655.226715217659,1927
"Harvard",15.7906696189168,552.220861170617,1927
"Howland",15.269909837068,440.804187412917,1927
"Michigan AmerifluxTower",14.5891209038176,378.291472705591,1927
"Michigan Facet Site",14.6344363304435,378.671505814942,1927
"Missouri Ozark",21.3573614649777,601.24936946692,1927
"Morgan Monroe State Park",20.7145915513635,565.99317515931,1927
"Oak Openings Toledo",18.7152665518865,379.312193895202,1927
"Savannah River",25.1781084743271,512.673580426583,1927
"Valles Caldera Lower",12.5086941197411,345.745308995205,1927
"Valles Caldera Upper",10.4717186168131,354.852342641557,1927
"Willow Creek",13.9471615665574,454.497526663949,1927
"Austin Cary FL",25.6378544725745,987.37770344111,1928
"Duke Hardwood",22.8634295470167,806.57271704058,1928
"Duke Loblolly",22.8617350458448,802.568179223054,1928
"Florida Plantation",25.693395062706,996.700326885655,1928
"Harvard",16.458703438679,677.53458348431,1928
